,res_id,res_dt,date,train_nr,line,reserved,capacity,bp_from,bp_to,dep_ist,dep_soll,arr_ist,arr_soll
76822,83928,2021-03-21,2021-03-21,807,IC 8,1.0,9.0,WF,AW,08:55:18,08:55:36,2021-03-21 09:04:52,2021-03-21 09:05:18
77596,84758,2021-03-25,2021-03-26,807,IC 8,1.0,9.0,BN,ZUE,07:02:48,07:02:30,2021-03-26 07:57:32,2021-03-26 07:58:00
77597,84759,2021-03-25,2021-03-26,807,IC 8,1.0,9.0,W,RH,08:31:35,08:31:30,2021-03-26 09:11:22,2021-03-26 09:12:00
77848,85170,2021-03-27,2021-03-27,807,IC 8,1.0,18.0,ZUE,WF,08:06:10,08:05:30,2021-03-27 08:53:26,2021-03-27 08:53:36
78090,85757,2021-03-28,2021-03-28,807,IC 8,1.0,18.0,ZUE,W,08:05:28,08:05:30,2021-03-28 08:29:10,2021-03-28 08:29:00
81246,89164,2021-04-02,2021-04-03,807,IC 8,1.0,9.0,TH,RH,06:37:01,06:36:48,2021-04-03 09:11:17,2021-04-03 09:12:00
81247,89165,2021-04-02,2021-04-03,807,IC 8,1.0,9.0,ZUE,FF,08:05:53,08:05:30,2021-04-03 08:42:12,2021-04-03 08:41:30
81248,89166,2021-04-02,2021-04-03,807,IC 8,1.0,9.0,BN,ZUE,07:03:18,07:02:30,2021-04-03 07:58:39,2021-04-03 07:58:00
81249,89167,2021-04-03,2021-04-03,807,IC 8,1.0,9.0,ZUE,WF,08:05:53,08:05:30,2021-04-03 08:53:43,2021-04-03 08:53:36
81250,89168,2021-04-03,2021-04-03,807,IC 8,1.0,9.0,ZUE,WF,08:05:53,08:05:30,2021-04-03 08:53:43,2021-04-03 08:53:36
82245,90176,2021-04-04,2021-04-04,807,IC 8,1.0,9.0,SP,BN,06:26:31,06:26:30,2021-04-04 06:56:32,2021-04-04 06:55:00
85604,93622,2021-03-31,2021-04-10,807,IC 8,2.0,9.0,BN,ZUE,07:04:30,07:02:30,2021-04-10 08:02:05,2021-04-10 07:58:00
86312,94385,2021-04-07,2021-04-11,807,IC 8,2.0,9.0,ZUE,RH,08:05:41,08:05:30,2021-04-11 09:11:41,2021-04-11 09:12:00
87618,95812,2021-04-15,2021-04-16,807,IC 8,1.0,15.0,BN,ZUE,07:02:51,07:02:30,2021-04-16 07:58:29,2021-04-16 07:58:00
87619,95813,2021-04-16,2021-04-16,807,IC 8,1.0,15.0,W,FF,08:31:43,08:31:30,2021-04-16 08:41:38,2021-04-16 08:41:30
88361,96628,2021-04-14,2021-04-17,807,IC 8,1.0,9.0,BN,ZUE,07:02:40,07:02:30,2021-04-17 07:58:24,2021-04-17 07:58:00
88362,96629,2021-04-16,2021-04-17,807,IC 8,1.0,9.0,BN,ZUE,07:02:40,07:02:30,2021-04-17 07:58:24,2021-04-17 07:58:00
90761,99255,2021-04-22,2021-04-23,807,IC 8,1.0,15.0,BN,RH,07:02:47,07:02:30,2021-04-23 09:11:47,2021-04-23 09:12:00
90762,99256,2021-04-22,2021-04-23,807,IC 8,1.0,15.0,BN,RH,07:02:47,07:02:30,2021-04-23 09:11:47,2021-04-23 09:12:00
90763,99257,2021-04-23,2021-04-23,807,IC 8,1.0,15.0,SP,ZUE,06:25:55,06:26:30,2021-04-23 07:58:16,2021-04-23 07:58:00
90764,99258,2021-04-23,2021-04-23,807,IC 8,1.0,15.0,SP,TH,06:25:55,06:26:30,2021-04-23 06:34:14,2021-04-23 06:34:54
90765,99259,2021-04-23,2021-04-23,807,IC 8,1.0,15.0,SP,BN,06:25:55,06:26:30,2021-04-23 06:54:33,2021-04-23 06:55:00
91805,100436,2021-04-23,2021-04-24,807,IC 8,2.0,9.0,ZUE,RH,08:05:30,08:05:30,2021-04-24 09:11:23,2021-04-24 09:12:00
91806,100437,2021-04-23,2021-04-24,807,IC 8,2.0,9.0,W,RH,08:31:19,08:31:30,2021-04-24 09:11:23,2021-04-24 09:12:00
91807,100438,2021-04-23,2021-04-24,807,IC 8,1.0,9.0,W,RH,08:31:19,08:31:30,2021-04-24 09:11:23,2021-04-24 09:12:00
91808,100439,2021-04-24,2021-04-24,807,IC 8,1.0,9.0,W,RH,08:31:19,08:31:30,2021-04-24 09:11:23,2021-04-24 09:12:00
91809,100440,2021-04-24,2021-04-24,807,IC 8,1.0,9.0,W,RH,08:31:19,08:31:30,2021-04-24 09:11:23,2021-04-24 09:12:00
94694,103660,2021-04-28,2021-04-30,807,IC 8,1.0,17.0,ZUE,RH,08:05:44,08:05:30,2021-04-30 09:12:04,2021-04-30 09:12:00
94695,103661,2021-04-28,2021-04-30,807,IC 8,1.0,17.0,ZUE,RH,08:05:44,08:05:30,2021-04-30 09:12:04,2021-04-30 09:12:00
94696,103662,2021-04-29,2021-04-30,807,IC 8,1.0,17.0,TH,BN,06:36:37,06:36:48,2021-04-30 06:55:07,2021-04-30 06:55:00
95187,104182,2021-04-29,2021-05-01,807,IC 8,3.0,9.0,ZUE,RH,08:05:21,08:05:30,2021-05-01 09:11:34,2021-05-01 09:12:00
95188,104183,2021-05-01,2021-05-01,807,IC 8,1.0,9.0,BN,ZUE,07:02:49,07:02:30,2021-05-01 07:58:04,2021-05-01 07:58:00
97080,106153,2021-05-07,2021-05-07,807,IC 8,1.0,9.0,BR,TH,05:46:49,05:46:30,2021-05-07 06:34:24,2021-05-07 06:34:54
