,res_id,res_dt,date,train_nr,line,reserved,capacity,bp_from,bp_to,dep_ist,dep_soll,arr_ist,arr_soll
38,41,2019-03-31,2019-04-01,1610,IC 51,1.0,6.0,BS,GN,07:03:33,07:03:18,2019-04-01 08:00:20,2019-04-01 08:00:00
39,42,2019-04-01,2019-04-01,1610,IC 51,1.0,6.0,DMT,BI,07:43:23,07:42:18,2019-04-01 08:09:23,2019-04-01 08:10:24
292,299,2019-01-15,2019-04-06,1610,IC 51,2.0,6.0,BS,BI,07:03:21,07:03:18,2019-04-06 08:09:35,2019-04-06 08:10:24
293,300,2019-01-16,2019-04-06,1610,IC 51,1.0,6.0,BS,BI,07:03:21,07:03:18,2019-04-06 08:09:35,2019-04-06 08:10:24
507,515,2019-04-09,2019-04-09,1610,IC 51,1.0,6.0,BS,GN,07:03:31,07:03:18,2019-04-09 07:59:29,2019-04-09 08:00:00
617,625,2019-04-08,2019-04-11,1610,IC 51,1.0,6.0,BS,BI,07:04:48,07:03:18,2019-04-11 08:12:03,2019-04-11 08:10:24
697,705,2019-02-13,2019-04-12,1610,IC 51,2.0,6.0,BS,BI,07:03:12,07:03:18,2019-04-12 08:09:38,2019-04-12 08:10:24
1355,1374,2019-04-18,2019-04-18,1610,IC 51,1.0,6.0,BS,GN,07:03:19,07:03:18,2019-04-18 07:59:02,2019-04-18 08:00:00
1356,1375,2019-04-18,2019-04-18,1610,IC 51,1.0,6.0,BS,GN,07:03:19,07:03:18,2019-04-18 07:59:02,2019-04-18 08:00:00
2912,2935,2019-02-08,2019-04-25,1610,IC 51,1.0,6.0,BS,BI,07:03:34,07:03:18,2019-04-25 08:12:52,2019-04-25 08:10:24
2913,2936,2019-04-25,2019-04-25,1610,IC 51,1.0,6.0,BS,GN,07:03:34,07:03:18,2019-04-25 07:59:19,2019-04-25 08:00:00
3052,3075,2019-04-26,2019-04-26,1610,IC 51,1.0,6.0,BS,BI,07:04:23,07:03:18,2019-04-26 08:10:02,2019-04-26 08:10:24
3053,3076,2019-04-26,2019-04-26,1610,IC 51,1.0,6.0,BS,BI,07:04:23,07:03:18,2019-04-26 08:10:02,2019-04-26 08:10:24
4141,4169,2019-04-29,2019-05-01,1610,IC 51,1.0,6.0,BS,BI,07:03:08,07:03:18,2019-05-01 08:13:32,2019-05-01 08:10:24
