,date,time_left,y,leisure_biking:idx,t_2m:C,precip_24h:mm,day_off
0,2021-04-23,19:02:30,0,0.9,17.3,0.03,0
1,2021-04-23,17:48:30,0,0.9,17.3,0.03,0
3,2021-04-23,20:27:30,0,0.9,17.3,0.03,0
4,2021-04-23,18:06:36,0,0.9,17.3,0.03,0
5,2021-04-23,17:48:30,0,0.9,17.3,0.03,0
6,2021-04-23,17:55:00,0,0.9,17.3,0.03,0
227,2021-04-23,12:06:36,0,0.9,17.3,0.03,0
231,2021-04-23,13:02:30,0,0.9,17.3,0.03,0
7,2021-04-25,17:48:30,0,0.9,17.6,0,1
8,2021-04-25,17:48:30,0,0.9,17.6,0,1
9,2021-04-25,17:48:30,0,0.9,17.6,0,1
10,2021-04-25,17:48:30,0,0.9,17.6,0,1
11,2021-04-25,17:48:30,0,0.9,17.6,0,1
12,2021-04-25,17:48:30,0,0.9,17.6,0,1
13,2021-04-25,19:02:30,0,0.9,17.6,0,1
14,2021-04-25,19:02:30,0,0.9,17.6,0,1
15,2021-04-25,19:02:30,0,0.9,17.6,0,1
16,2021-04-25,19:02:30,0,0.9,17.6,0,1
17,2021-04-25,19:02:30,0,0.9,17.6,0,1
18,2021-04-25,18:06:36,0,0.9,17.6,0,1
19,2021-04-25,17:48:30,0,0.9,17.6,0,1
20,2021-04-25,17:48:30,0,0.9,17.6,0,1
21,2021-04-25,18:31:30,0,0.9,17.6,0,1
22,2021-04-25,18:31:30,0,0.9,17.6,0,1
23,2021-04-25,19:02:30,0,0.9,17.6,0,1
24,2021-05-21,20:07:48,0,0,16.8,3.2,0
25,2021-05-21,19:02:30,0,0,16.8,3.2,0
26,2021-05-21,20:07:48,0,0,16.8,3.2,0
27,2021-05-21,20:07:48,0,0,16.8,3.2,0
28,2021-05-21,19:02:30,0,0,16.8,3.2,0
29,2021-05-21,19:02:30,0,0,16.8,3.2,0
30,2021-05-21,19:02:30,0,0,16.8,3.2,0
31,2021-05-21,17:55:00,0,0,16.8,3.2,0
32,2021-05-21,19:02:30,0,0,16.8,3.2,0
33,2021-05-21,19:02:30,0,0,16.8,3.2,0
34,2021-05-21,19:02:30,0,0,16.8,3.2,0
232,2021-05-21,12:18:54,0,0,16.8,3.2,0
233,2021-05-21,12:18:54,0,0,16.8,3.2,0
234,2021-05-21,13:02:30,0,0,16.8,3.2,0
235,2021-05-21,11:48:30,0,0,16.8,3.2,0
