,BR,VI,FR,SP,TH,BN,ZUE,ZFH,W,FF,WF,AW,RH,BR_days_before_last_booking,VI_days_before_last_booking,FR_days_before_last_booking,SP_days_before_last_booking,TH_days_before_last_booking,BN_days_before_last_booking,ZUE_days_before_last_booking,ZFH_days_before_last_booking,W_days_before_last_booking,FF_days_before_last_booking,WF_days_before_last_booking,AW_days_before_last_booking,RH_days_before_last_booking,capacity
2021-03-21,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-03-26,1,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-03-27,0,0,0,0,0,0,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,18
2021-04-02,1,3,3,3,1,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-03,1,1,1,1,2,3,3,3,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-04,3,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,9
2021-04-05,0,0,0,0,0,8,5,5,5,4,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,1,-1,-1,9
2021-04-09,0,3,3,3,3,0,0,0,0,0,1,1,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,9
2021-04-10,0,1,1,1,1,0,3,3,3,3,2,2,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,9
2021-04-11,1,2,2,2,2,5,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,9
2021-04-16,1,1,1,2,2,8,4,4,4,4,4,4,0,0,0,0,0,0,0,2,2,2,2,2,2,-1,9
2021-04-17,0,2,2,2,0,1,1,1,1,1,1,1,0,-1,0,0,0,-1,3,3,3,3,3,3,3,-1,9
2021-04-18,0,2,2,2,4,4,1,1,1,0,0,0,0,-1,0,0,0,0,0,5,5,5,-1,-1,-1,-1,9
2021-04-23,1,2,2,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-24,0,0,0,1,2,3,4,4,4,2,2,2,0,-1,-1,-1,1,0,0,0,0,0,1,1,1,-1,9
2021-04-25,3,3,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-30,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-02,4,5,5,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-07,1,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-08,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-09,0,2,2,1,2,2,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,9
2021-05-21,0,2,2,2,4,8,6,6,6,6,6,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-22,0,1,1,1,1,3,0,0,1,1,1,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,-1,-1,9
2021-05-23,0,2,2,2,1,3,4,4,4,4,4,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-24,1,2,2,2,3,8,5,5,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-28,0,2,2,2,2,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-29,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1,1,1,-1,0,0,0,0,0,0,0,-1,9
