,BR,VI,FR,SP,TH,BN,ZUE,ZFH,W,FF,WF,AW,RH,BR_days_before_last_booking,VI_days_before_last_booking,FR_days_before_last_booking,SP_days_before_last_booking,TH_days_before_last_booking,BN_days_before_last_booking,ZUE_days_before_last_booking,ZFH_days_before_last_booking,W_days_before_last_booking,FF_days_before_last_booking,WF_days_before_last_booking,AW_days_before_last_booking,RH_days_before_last_booking,capacity
2021-04-02,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9
2021-04-03,0,5,5,5,5,4,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-04,3,4,4,5,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-04-05,1,6,6,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-11,0,2,2,2,2,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-17,1,3,3,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-18,0,1,1,1,1,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-23,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,15
2021-04-24,0,1,1,1,3,5,1,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,9
2021-04-25,0,3,3,4,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-30,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-02,0,1,1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,18
2021-05-08,1,3,3,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-09,0,6,6,8,8,9,2,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,9
2021-05-21,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,15
2021-05-22,1,1,1,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,9
2021-05-23,0,4,4,4,7,6,2,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-05-24,1,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-28,1,1,1,2,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,15
2021-05-29,1,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-30,1,5,5,8,8,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-06-04,1,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15
2021-06-05,0,2,2,2,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9
2021-06-11,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15
2021-06-12,3,7,7,7,7,4,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,9
2021-06-13,5,6,6,5,4,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-06-18,1,3,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15
2021-06-19,8,8,8,8,8,1,2,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,0,-1,-1,9
2021-06-20,0,2,2,3,3,4,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,11
2021-06-25,0,1,1,2,2,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15
2021-06-26,3,9,9,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-06-27,6,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-07-02,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,15
2021-07-04,0,2,2,2,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9
2021-07-09,1,2,2,2,2,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-07-10,1,5,5,6,7,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,9
2021-07-11,1,9,9,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15
2021-07-16,0,1,1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,15
2021-07-17,1,5,5,3,1,1,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,9
2021-07-18,6,8,8,8,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-07-23,1,4,4,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15
2021-07-24,1,3,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-07-25,2,4,4,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-07-30,1,3,3,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15
2021-07-31,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-08-01,0,1,1,1,1,1,0,0,0,0,0,0,0,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,9
2021-08-06,3,6,6,6,6,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,15
2021-08-07,0,3,3,3,3,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-08-08,2,9,9,9,8,9,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-08-13,0,2,2,4,4,6,5,5,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,15
2021-08-14,0,5,5,5,5,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-08-20,2,3,3,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15
2021-08-21,5,7,7,7,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,9
2021-08-22,9,9,9,9,2,5,0,0,0,0,0,0,0,3,3,3,3,3,0,-1,-1,-1,-1,-1,-1,-1,9
2021-08-27,1,7,7,7,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,15
2021-08-28,0,7,7,9,9,4,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,18
2021-08-29,1,2,2,2,2,0,0,0,0,0,0,0,0,10,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,18
2021-09-03,0,3,3,3,3,4,2,2,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,15
2021-09-04,2,6,6,6,8,9,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,9
2021-09-05,1,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-09-11,0,0,0,0,0,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,21
2021-09-17,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,17
2021-09-18,2,6,6,7,7,3,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,9
2021-09-19,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9
