,RO,SG,W,ZFH,ZUE,AA,OL,SO,BI,NE,YV,MOR,GE,GEAP,RO_days_before_last_booking,SG_days_before_last_booking,W_days_before_last_booking,ZFH_days_before_last_booking,ZUE_days_before_last_booking,AA_days_before_last_booking,OL_days_before_last_booking,SO_days_before_last_booking,BI_days_before_last_booking,NE_days_before_last_booking,YV_days_before_last_booking,MOR_days_before_last_booking,GE_days_before_last_booking,GEAP_days_before_last_booking,capacity
2019-04-01,0,0,0,0,1,1,1,1,2,1,1,1,0,0,-1,-1,-1,-1,3,3,3,3,0,0,0,0,-1,-1,12
2019-04-06,0,0,0,0,0,0,0,0,2,2,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,80,80,80,80,-1,-1,12
2019-04-07,0,0,0,0,0,0,0,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,8,8,8,8,8,-1,-1,12
2019-04-08,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,12
2019-04-11,0,0,0,0,0,0,0,0,2,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,12
2019-04-12,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,58,58,58,58,-1,-1,12
2019-04-13,0,0,0,0,0,0,1,2,2,2,2,2,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,12
2019-04-14,0,0,0,0,0,1,1,1,3,3,3,3,0,0,-1,-1,-1,-1,-1,38,38,38,38,38,38,38,-1,-1,12
2019-04-15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,12
2019-04-17,0,0,0,0,1,1,1,2,1,1,1,1,0,0,-1,-1,-1,-1,8,8,8,1,1,1,1,1,-1,-1,12
2019-04-18,0,0,0,0,0,0,1,1,1,2,1,1,0,0,-1,-1,-1,-1,-1,-1,1,1,1,1,25,25,-1,-1,12
2019-04-19,0,0,0,0,2,4,4,4,4,4,3,1,0,0,-1,-1,-1,-1,4,4,4,4,4,4,4,4,-1,-1,12
2019-04-20,0,0,0,0,0,3,4,4,2,1,1,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,1,1,1,-1,-1,12
2019-04-21,0,0,0,0,2,2,3,3,3,3,1,1,0,0,-1,-1,-1,-1,1,1,0,0,0,0,0,0,-1,-1,12
2019-04-22,0,0,0,0,2,2,3,3,4,3,3,3,0,0,-1,-1,-1,-1,5,5,1,1,1,1,1,1,-1,-1,12
2019-04-23,0,0,0,0,1,2,1,1,1,1,0,0,0,0,-1,-1,-1,-1,1,0,1,1,1,1,-1,-1,-1,-1,12
2019-04-24,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,12
2019-04-25,0,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,12
2019-04-26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,12
2019-04-27,0,0,0,0,4,4,4,4,4,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,12
2019-04-28,0,0,0,0,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,25,25,25,25,25,25,25,25,-1,-1,12
2019-05-01,0,0,0,0,2,2,2,2,2,2,2,2,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,12
2019-05-02,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,12
2019-05-04,0,0,0,0,1,1,2,2,1,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,12
2019-05-05,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,12
2019-05-06,0,0,0,0,2,2,2,2,1,1,1,1,0,0,-1,-1,-1,-1,0,0,0,0,5,5,5,5,-1,-1,12
2019-05-07,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,12
2019-05-10,0,0,0,0,1,1,2,1,1,1,1,1,0,0,-1,-1,-1,-1,3,3,0,3,3,3,3,3,-1,-1,12
2019-05-11,0,0,0,0,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,12
2019-05-12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,12
2019-05-13,0,0,0,0,0,0,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,12
2019-05-14,0,0,0,0,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,12
2019-05-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,12
2019-05-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,12
2019-05-18,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,12
2019-05-19,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,12
2019-05-21,0,0,0,0,1,1,1,2,3,3,2,3,0,0,-1,-1,-1,-1,1,1,1,1,0,0,1,0,-1,-1,12
2019-05-22,0,0,0,0,1,2,3,2,3,2,2,2,0,0,-1,-1,-1,-1,9,0,0,0,0,1,1,1,-1,-1,12
2019-05-23,0,0,0,0,1,1,2,1,1,1,1,1,0,0,-1,-1,-1,-1,7,7,0,7,7,7,7,7,-1,-1,12
2019-05-24,0,0,0,0,0,1,2,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,12
2019-05-25,0,0,0,0,0,0,0,2,3,4,4,4,0,0,-1,-1,-1,-1,-1,-1,-1,4,4,0,0,0,-1,-1,12
