,res_id,res_dt,date,train_nr,line,reserved,capacity,bp_from,bp_to,dep_ist,dep_soll,arr_ist,arr_soll
306,314,2019-04-07,2019-04-07,525,IC 5,1.0,6.0,BI,ZUE,14:47:26,14:46:18,2019-04-07 15:56:12,2019-04-07 15:56:00
383,391,2019-04-08,2019-04-08,525,IC 5,1.0,6.0,OL,ZUE,15:20:51,15:20:18,2019-04-08 15:56:45,2019-04-08 15:56:00
520,528,2019-04-10,2019-04-10,525,IC 5,2.0,6.0,YV,NE,14:06:25,14:07:00,2019-04-10 14:25:45,2019-04-10 14:24:36
521,529,2019-04-10,2019-04-10,525,IC 5,2.0,6.0,YV,NE,14:06:25,14:07:00,2019-04-10 14:25:45,2019-04-10 14:24:36
722,730,2019-04-13,2019-04-13,525,IC 5,1.0,6.0,BI,OL,14:46:41,14:46:18,2019-04-13 15:17:24,2019-04-13 15:18:00
841,849,2019-04-10,2019-04-14,525,IC 5,2.0,6.0,GE,ZUE,13:15:41,13:15:18,2019-04-14 15:56:10,2019-04-14 15:56:00
842,850,2019-04-14,2019-04-14,525,IC 5,1.0,6.0,MOR,ZUE,13:42:30,13:42:54,2019-04-14 15:56:10,2019-04-14 15:56:00
945,955,2019-04-15,2019-04-15,525,IC 5,1.0,6.0,MOR,ZUE,13:43:09,13:42:54,2019-04-15 15:57:49,2019-04-15 15:56:00
1208,1225,2019-04-14,2019-04-18,525,IC 5,3.0,6.0,BI,AA,14:46:43,14:46:18,2019-04-18 15:28:50,2019-04-18 15:30:00
1209,1226,2019-04-18,2019-04-18,525,IC 5,2.0,6.0,MOR,YV,13:42:47,13:42:54,2019-04-18 14:03:56,2019-04-18 14:05:00
1425,1444,2019-04-19,2019-04-19,525,IC 5,2.0,6.0,GE,BI,13:15:10,13:15:18,2019-04-19 14:42:32,2019-04-19 14:43:00
1426,1445,2019-04-19,2019-04-19,525,IC 5,1.0,6.0,MOR,YV,13:43:46,13:42:54,2019-04-19 14:05:21,2019-04-19 14:05:00
1732,1754,2019-04-17,2019-04-20,525,IC 5,2.0,6.0,AA,ZUE,15:32:26,15:32:18,2019-04-20 15:54:56,2019-04-20 15:56:00
