,date,time_left,leisure_biking:idx,t_2m:C,precip_24h:mm
0,2021-04-23,20:27:30,0.9,17.3,0.03
1,2021-04-23,20:27:30,0.9,17.3,0.03
2,2021-04-25,19:02:30,0.9,17.6,0.0
3,2021-04-25,19:02:30,0.9,17.6,0.0
4,2021-04-25,19:02:30,0.9,17.6,0.0
5,2021-05-21,20:07:48,0.0,16.8,3.2
6,2021-05-21,20:07:48,0.0,16.8,3.2
7,2021-09-17,20:07:48,1.0,22.1,2.73
45,2021-09-17,17:57:48,1.0,22.1,2.73
46,2021-09-17,17:57:48,1.0,22.1,2.73
47,2021-09-17,17:57:48,1.0,22.1,2.73
48,2021-09-17,17:57:48,1.0,22.1,2.73
58,2021-09-17,15:07:48,1.0,22.1,2.73
59,2021-09-17,15:07:48,1.0,22.1,2.73
60,2021-09-17,14:02:30,1.0,22.1,2.73
8,2021-09-18,19:02:30,1.0,21.6,0.0
9,2021-06-19,17:57:48,0.7,30.4,0.28
10,2021-06-19,17:57:48,0.7,30.4,0.28
11,2021-08-01,17:57:48,0.0,18.7,17.09
12,2021-08-01,17:57:48,0.0,18.7,17.09
13,2021-08-22,17:57:48,0.85,24.9,2.59
14,2021-08-22,17:57:48,0.85,24.9,2.59
15,2021-08-22,17:57:48,0.85,24.9,2.59
16,2021-08-22,17:57:48,0.85,24.9,2.59
17,2021-08-22,17:57:48,0.85,24.9,2.59
18,2021-08-22,17:57:48,0.85,24.9,2.59
19,2021-08-22,17:57:48,0.85,24.9,2.59
20,2021-08-22,17:57:48,0.85,24.9,2.59
21,2021-08-22,17:57:48,0.85,24.9,2.59
22,2021-08-22,17:57:48,0.85,24.9,2.59
49,2021-08-22,14:02:30,0.85,24.9,2.59
50,2021-08-22,15:37:42,0.85,24.9,2.59
23,2021-08-29,17:57:48,0.8,20.9,1.02
24,2021-08-29,17:57:48,0.8,20.9,1.02
25,2021-08-29,17:57:48,0.8,20.9,1.02
26,2021-08-29,17:57:48,0.8,20.9,1.02
27,2021-08-29,17:57:48,0.8,20.9,1.02
28,2021-08-29,17:57:48,0.8,20.9,1.02
29,2021-08-29,17:57:48,0.8,20.9,1.02
30,2021-08-29,17:57:48,0.8,20.9,1.02
31,2021-08-29,17:57:48,0.8,20.9,1.02
32,2021-08-29,17:57:48,0.8,20.9,1.02
33,2021-08-29,17:57:48,0.8,20.9,1.02
34,2021-08-29,17:57:48,0.8,20.9,1.02
35,2021-08-29,17:57:48,0.8,20.9,1.02
36,2021-08-29,17:57:48,0.8,20.9,1.02
37,2021-08-29,17:57:48,0.8,20.9,1.02
38,2021-08-29,17:57:48,0.8,20.9,1.02
39,2021-08-29,17:57:48,0.8,20.9,1.02
40,2021-08-29,17:57:48,0.8,20.9,1.02
41,2021-08-29,17:57:48,0.8,20.9,1.02
42,2021-08-29,17:57:48,0.8,20.9,1.02
43,2021-08-29,17:57:48,0.8,20.9,1.02
44,2021-08-29,17:57:48,0.8,20.9,1.02
51,2021-08-29,15:07:48,0.8,20.9,1.02
52,2021-08-29,15:07:48,0.8,20.9,1.02
53,2021-08-29,15:37:42,0.8,20.9,1.02
54,2021-08-29,13:31:30,0.8,20.9,1.02
55,2021-08-29,13:31:30,0.8,20.9,1.02
56,2021-08-29,14:02:30,0.8,20.9,1.02
57,2021-08-29,15:37:42,0.8,20.9,1.02
